,From,To,Booking_date,Journey_date,Airline,Code,Departure,Arrival,Duration,Stops,Price
0,Delhi,Bangalore,2022-06-23,2022-06-23,Air India,AI-504,21:15,"00:05
+1D",2h 50m,non-stop,"₹9,420"
1,Delhi,Bangalore,2022-06-23,2022-06-23,IndiGo,6E-2131,21:30,"00:15
+1D",2h 45m,non-stop,"₹9,419"
2,Delhi,Bangalore,2022-06-23,2022-06-23,IndiGo,6E-6565,22:55,"01:45
+1D",2h 50m,non-stop,"₹9,419"
3,Delhi,Bangalore,2022-06-23,2022-06-23,Air India,AI-605,21:15,"07:50
+1D",10h 35m,1 stop,"₹14,775"
4,Delhi,Bangalore,2022-06-23,2022-06-23,Air India,AI-605,21:15,"18:20
+1D",21h 5m,1 stop,"₹14,985"
5,Delhi,Bangalore,2022-06-23,2022-06-23,Air India,AI-605,21:15,"11:10
+1D",13h 55m,1 stop,"₹15,300"
6,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"17:45
+1D",20h 15m,1 stop,"₹15,612"
7,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"19:15
+1D",21h 45m,1 stop,"₹15,612"
8,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"18:15
+1D",20h 45m,1 stop,"₹15,929"
9,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"07:50
+1D",10h 20m,1 stop,"₹16,349"
10,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"23:10
+1D",25h 40m,1 stop,"₹16,349"
11,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"10:45
+1D",13h 15m,1 stop,"₹16,874"
12,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"08:50
+1D",11h 20m,1 stop,"₹17,924"
13,Delhi,Bangalore,2022-06-23,2022-06-23,Vistara,UK-981,21:30,"20:55
+1D",23h 25m,1 stop,"₹17,924"
14,Delhi,Bangalore,2022-06-23,2022-06-24,IndiGo,6E-5036,02:25,05:15,2h 50m,non-stop,"₹9,419"
15,Delhi,Bangalore,2022-06-23,2022-06-24,IndiGo,6E-2048,03:50,06:40,2h 50m,non-stop,"₹9,419"
16,Delhi,Bangalore,2022-06-23,2022-06-24,GO FIRST,G8-113,05:50,08:30,2h 40m,non-stop,"₹9,419"
17,Delhi,Bangalore,2022-06-23,2022-06-24,IndiGo,6E-6612,06:00,08:35,2h 35m,non-stop,"₹9,419"
18,Delhi,Bangalore,2022-06-23,2022-06-24,SpiceJet,SG-191,06:05,08:55,2h 50m,non-stop,"₹9,419"
19,Delhi,Bangalore,2022-06-23,2022-06-24,Air India,AI-803,06:10,08:55,2h 45m,non-stop,"₹9,420"
20,Delhi,Bangalore,2022-06-23,2022-06-24,Vistara,UK-811,06:15,09:00,2h 45m,non-stop,"₹9,418"
21,Delhi,Bangalore,2022-06-23,2022-06-24,IndiGo,6E-5009,06:55,09:50,2h 55m,non-stop,"₹9,419"
22,Delhi,Bangalore,2022-06-23,2022-06-24,Vistara,UK-815,08:05,10:50,2h 45m,non-stop,"₹9,418"
23,Delhi,Bangalore,2022-06-23,2022-06-24,Air Asia,I5-740,08:10,10:40,2h 30m,non-stop,"₹9,419"
24,Delhi,Bangalore,2022-06-23,2022-06-24,IndiGo,6E-308,08:20,11:00,2h 40m,non-stop,"₹9,419"
25,Delhi,Bangalore,2022-06-23,2022-06-24,GO FIRST,G8-119,20:30,23:20,2h 50m,non-stop,"₹9,419"
26,Delhi,Bangalore,2022-06-23,2022-06-24,Air Asia,I5-721,21:00,23:50,2h 50m,non-stop,"₹9,419"
27,Delhi,Bangalore,2022-06-23,2022-06-24,IndiGo,6E-2131,21:30,"00:15
+1D",2h 45m,non-stop,"₹9,419"
