,From,To,Booking_date,Journey_date,Airline,Code,Departure,Arrival,Duration,Stops,Price
0,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-805,20:00,22:10,2h 10m,non-stop,"₹7,845"
1,Delhi,Mumbai,2022-06-23,2022-06-23,GO FIRST,G8-346,19:35,21:45,2h 10m,non-stop,"₹8,579"
2,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-605,21:15,23:35,2h 20m,non-stop,"₹8,580"
3,Delhi,Mumbai,2022-06-23,2022-06-23,GO FIRST,G8-328,21:15,23:45,2h 30m,non-stop,"₹8,579"
4,Delhi,Mumbai,2022-06-23,2022-06-23,SpiceJet,SG-711,21:40,23:55,2h 15m,non-stop,"₹8,579"
5,Delhi,Mumbai,2022-06-23,2022-06-23,IndiGo,6E-2114,21:45,"00:10
+1D",2h 25m,non-stop,"₹8,579"
6,Delhi,Mumbai,2022-06-23,2022-06-23,GO FIRST,G8-354,22:45,"01:00
+1D",2h 15m,non-stop,"₹8,579"
7,Delhi,Mumbai,2022-06-23,2022-06-23,IndiGo,6E-2519,23:35,"01:40
+1D",2h 5m,non-stop,"₹8,579"
8,Delhi,Mumbai,2022-06-23,2022-06-23,Air Asia,I5-1732,21:40,"07:15
+1D",9h 35m,1 stop,"₹8,581"
9,Delhi,Mumbai,2022-06-23,2022-06-23,IndiGo,6E-6261,19:45,21:55,2h 10m,non-stop,"₹8,789"
10,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-981,21:30,23:30,2h 0m,non-stop,"₹8,895"
11,Delhi,Mumbai,2022-06-23,2022-06-23,SpiceJet,SG-8169,19:45,22:00,2h 15m,non-stop,"₹8,999"
12,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-929,21:20,"06:15
+1D",8h 55m,1 stop,"₹9,031"
13,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-985,19:45,21:55,2h 10m,non-stop,"₹9,315"
14,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-929,21:20,"09:40
+1D",12h 20m,1 stop,"₹9,976"
15,Delhi,Mumbai,2022-06-23,2022-06-23,IndiGo,6E-153,19:35,"00:20
+1D",4h 45m,1 stop,"₹12,622"
16,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-883,22:00,"08:05
+1D",10h 5m,1 stop,"₹13,200"
17,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-883,22:00,"16:35
+1D",18h 35m,1 stop,"₹13,200"
18,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-929,21:20,"23:05
+1D",25h 45m,1 stop,"₹13,546"
19,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-479,21:15,"11:35
+1D",14h 20m,1 stop,"₹14,315"
20,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-953,20:40,22:50,2h 10m,non-stop,"₹15,720"
21,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-504,21:15,"08:35
+1D",11h 20m,1 stop,"₹15,615"
22,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-871,20:35,"08:40
+1D",12h 5m,1 stop,"₹15,927"
23,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-504,21:15,"10:35
+1D",13h 20m,1 stop,"₹16,140"
24,Delhi,Mumbai,2022-06-23,2022-06-23,Air India,AI-540,20:40,"08:05
+1D",11h 25m,1 stop,"₹16,875"
25,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-807,20:40,"08:15
+1D",11h 35m,1 stop,"₹16,872"
26,Delhi,Mumbai,2022-06-23,2022-06-23,Vistara,UK-809,19:50,"08:15
+1D",12h 25m,1 stop,"₹16,872"
